Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2018?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra
Hombre,22,Catamarca,2,1,1,0,Universitario,En curso,ING informática,Unca,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,Linux,"HTML, Javascript, PHP, Python","Django, Toba Framework","MySQL, PostgreSQL",Selenium,Atom,Linux,Android,No,0,Bruto,Full-Time,35000,33000,2,3,Menos de un sueldo,Mix de las anteriores,Dos,25,5,Jamás,Heterosexual,,,,1001-2000,Producto basado en Software,8,9,2,Capacitaciones y/o cursos
Hombre,23,Catamarca,2,1,1,0,Secundario,Completado,Ing informática,UNCa,"Sí, de forma particular",No,Sí,"Developer, SysAdmin y Redes","Linux, VMWare, Proxmox, Mikrotik, Cisco ","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Cordova, Django, Node.js, React.js, WordPress, Flask, channels, expressjs","Informix, MariaDB, MongoDB, MySQL, PostgreSQL",Selenium,"Atom, Nano",Linux,Android,No,0,Porcentaje de mi sueldo,Part-Time,25000,22000,2,1,Un sueldo,Mix de las anteriores,Uno,22,12,Jamás,Heterosexual,,,Charlas online,51-100,Producto basado en Software,8,10,2,"Capacitaciones y/o cursos, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Mujer,35,Chaco,8,7,2,2,Posgrado,En curso,MTI,Universidad del Nordeste,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,,".NET, R",".NET Core, shiny, entre otras librerías de R",MSSQL,,"RStudio, Sublime Text, Visual Studio",Windows,Android,"Sí, pasiva",0,Neto,Full-Time,50000,45000,2,2,De uno a tres sueldos,Performance de la compañía,Dos,4,10,En mi trabajo actual,dgsdg,,No,varios,201-500,Otras industrias,4,4,0.2,"Capacitaciones y/o cursos, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Hombre,41,Chaco,20,2,10,0,Universitario,Completado,Lic en sistemas ,Uba / CAECE,"Sí, los pagó un empleador",No,No,Developer,,".NET, C#, CSS, HTML, Javascript, TypeScript",Angular,MySQL,,"Visual Studio, Vs code ",Mac OS X,Android,No,0,Bruto,Freelance,70000,65000,3,2,No,No recibo bono,Más de dos,40,10,Jamás,Heterosexual,,,Ninguno,1-10,Servicios / Consultoría de Software / Digital,5,1,-1,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,35,Chaco,5,3,2,0,Universitario,Completado,Analisis en Sistemas,UTN,"Sí, los pagó un empleador",No,No,Product Manager,"Google Cloud Platform/App Engine, Linux",,,MySQL,,,Linux,Android,No,0,Neto,Full-Time,35000,28780,2,2,No,No recibo bono,Uno,10,10,En mi trabajo actual,Heterosexual,,No,,501-1000,Producto basado en Software,8,8,1,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,38,Chaco,16,16,16,0,Terciario,Incompleto,Analista de Sistemas,,"Sí, los pagó un empleador",No,No,BI Analyst / Data Analyst,SAP R/3,ABAP,,,,,Windows,Android,"Sí, pasiva",0,Neto,Full-Time,47000,32000,2,3,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,Ninguno,201-500,Otras industrias,6,4,2,Ninguna de las anteriores
Hombre,30,Chaco,9,5,5,3,Terciario,Completado,T S P,Utn frre,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Project Manager,"Linux, VMWare, Windows Server",".NET, C#, HTML, Java, PHP, SQL",.NET Core,"MSSQL, MySQL",,"Android Studio, NetBeans, Notepad++, Visual Studio",Mac OS X,Android,"Sí, pasiva",0,Neto,Full-Time,67,56,3,2,No,No recibo bono,Dos,29,12,Jamás,Heterosexual,,No,,201-500,Otras industrias,6,10,2,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, WFH (Trabajar desde casa), Osde"
Hombre,32,Chaco,10,2,2,0,Universitario,Incompleto,Ing. en Sistemas,UTN FRRe (Regional Resistencia),"Sí, de forma particular",Sí,Sí,Architect,"Linux, Mainframe, OpenStack, VMWare, Windows Server",".NET, C++, HTML, PHP, SQL",.NET Core,"MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL, MongoDB, MySQL","Test Complete, Visual Studio Coded UI","Notepad++, Vi, Vim, Visual Studio",Mac OS X,iOS,"Sí, activa",0,Neto,Full-Time,46000,35000,3,2,No,No recibo bono,Dos,20,1,En mi trabajo actual,Heterosexual,,,Ninguno :(,1001-2000,Otras industrias,5,5,5,Ninguna de las anteriores
Hombre,28,Chaco,7,3,1,2,Universitario,Incompleto,Ingeniería en Sistemas,UTN,No,No,Sí,Developer,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, Kubernetes, Serverless","Javascript, Kotlin, TypeScript",Node.js,"MariaDB, MongoDB, MySQL, PostgreSQL, Redis",,IntelliJ,Mac OS X,iOS,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),250000,245000,4,3,Un sueldo,Performance individual,No,0,0,Jamás,Heterosexual,,No,,51-100,Servicios / Consultoría de Software / Digital,10,5,-1,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,29,Chaco,0,0,0,0,Universitario,En curso,Ingenieria en Sistemas,UTN,"Sí, de forma particular",Sí,Sí,Developer,Azure,"Java, Javascript, Smalltalk, SQL",,"Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL",HP LoadRunner,"Android Studio, NetBeans, Notepad++",Windows,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,17000,15000,2,2,Menos de un sueldo,Performance grupal,No,0,0,Jamás,Heterosexual,,No,,501-1000,Producto basado en Software,5,5,3,Capacitaciones y/o cursos
