Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a julio 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Catamarca,1,Menos de un año,No,0,Universitario,Completado,Ingeniero en Informatica,"Sí, de forma particular",Developer,,"HTML, Javascript, jQuery, Python, React, ionic, Angular en menor medida, django",,,,,No,0,Porcentaje de mi sueldo,Part-Time,16000,Neto,3,3,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Horarios flexibles, Pc de escritorio"
Mujer,24 - 26,Catamarca,2,2,No,0,Terciario,En curso,Técnico en desarrollo de software,"Sí, de forma particular",Infosec,,,,,,,No,0,Neto,Part-Time,4000,Neto,1,1,No,No recibo bono,No,0,1001-2000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Catamarca,8,7,No,0,Terciario,Incompleto,Tecnico en turismo,No,Ventas,,,,,,,,,,Freelance,9000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Sueldo divido en dos pagos por mes, Viáticos"
Mujer,27 - 30,Catamarca,5,5,No,0,Universitario,Completado,Ing informatica,"Sí, de forma particular",Developer,,"HTML, Java, Javascript, jQuery, PHP",,,,,No,0,Neto,Full-Time,24000,Neto,3,4,No,No recibo bono,Dos,14,101-200,No,No cambié de empresa,Viáticos
Mujer,34 - 36,Catamarca,10+,7,Sí,6,Posgrado,Completado,Magister en Informatica,"Sí, de forma particular",Developer,,"CSS, HTML, Java, Javascript, jQuery, PHP, Python",,,,,No,0,Bruto,Part-Time,25000,Neto,1,1,No,No recibo bono,Uno,10,101-200,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Catamarca,2,1,No,0,Universitario,Completado,Ing. en sistemas,No,SysAdmin / DevOps,Windows,".NET, CSS, HTML, Javascript, jQuery, PHP, VB *",,,,,No,0,Porcentaje de mi sueldo,Part-Time,17500,Neto,3,3,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,"Comidas pagas/subvencionadas, Laptop"
Otros,50+,Catamarca,1,Menos de un año,Sí,128,Primario,En curso,Tecnico en Radiologia,"Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,808765,Neto,1,1,3+ sueldos,No recibo bono,Dos,87,10001+,Sí,No cambié de empresa,"Abono de celular y/o Internet, Masajes"
Hombre,34 - 36,Chaco,3,3,No,0,Universitario,Incompleto,Licenciatura en sistemas,"Sí, de forma particular",Developer,,"Java, Javascript, jQuery",,,,,No,0,Bruto,Full-Time,20770,Bruto,2,1,No,No recibo bono,Dos,15,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Masajes, Snacks, golosinas, bebidas, Viajes al exterior"
Hombre,34 - 36,Chaco,10+,7,Sí,3,Universitario,Completado,ING. Sistemas,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, VB *",,,,,No,0,Neto,Full-Time,34000,Neto,3,2,No,No recibo bono,Dos,20,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Chaco,5,4,Sí,2,Universitario,Completado,Tecnicatura superior en programación ,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, Python",,,,,No,0,Neto,Full-Time,27500,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,WFH (Trabajar desde casa)
